======================================================================
  MEV INSURANCE — ECONOMIC REPORT
  2026-05-12 11:44:28
======================================================================

──────────────────────────────────────────────────────────────────────
  EVOLUZIONE POOL (ogni 2 min)
──────────────────────────────────────────────────────────────────────
       Ora         MEVI Pool        ETH Pool
  01:55:41   146.20 USDC →  117.1610 MEVI  | att: NO
  01:56:07   146.27 USDC →  129.5366 MEVI  | att: NO
  01:56:32   100.03 USDC →   83.8079 MEVI  | att: NO
  01:56:57   123.26 USDC →  120.2945 MEVI  | att: NO
  01:57:23   129.94 USDC →   93.6682 MEVI  | att: NO
  01:57:47   121.78 USDC →   94.0335 MEVI  | att: NO
  01:58:12   126.28 USDC →  103.5641 MEVI  | att: NO
  01:58:37   115.34 USDC →  104.6119 MEVI  | att: NO
  01:59:03   134.79 USDC →  125.9283 MEVI  | att: NO
  01:59:28   136.65 USDC →   94.0651 MEVI  | att: NO
  01:59:53   135.75 USDC →   99.6778 MEVI  | att: NO
  02:00:18   112.28 USDC →   85.8043 MEVI  | att: NO
  02:00:44   138.50 USDC →  116.4747 MEVI  | att: SI  perdita: 4.3934  rimborso: NON ASSICURATO
  02:01:11   134.31 USDC →  114.7974 MEVI  | att: NO
  02:01:37   144.82 USDC →  140.7435 MEVI  | att: NO
  02:02:02   116.76 USDC →   83.3492 MEVI  | att: NO
  02:02:28   136.80 USDC →  107.5542 MEVI  | att: NO
  02:02:53   133.25 USDC →  103.4849 MEVI  | att: NO
  02:03:19   114.71 USDC →   94.5881 MEVI  | att: NO
  02:03:44   147.11 USDC →  137.4333 MEVI  | att: SI  perdita: 5.4722  rimborso: NON ASSICURATO
  02:04:10   138.73 USDC →  131.0498 MEVI  | att: NO
  02:04:37   138.25 USDC →  134.5302 MEVI  | att: NO
  02:05:02   134.55 USDC →   93.4559 MEVI  | att: SI  perdita: 3.1954  rimborso: NON ASSICURATO
  02:05:27   138.12 USDC →  100.7589 MEVI  | att: NO
  02:05:53   102.26 USDC →   75.3626 MEVI  | att: NO
  02:06:19   104.38 USDC →   95.0855 MEVI  | att: NO
  02:06:44   145.33 USDC →  136.8720 MEVI  | att: NO
  02:07:10   101.55 USDC →   68.5558 MEVI  | att: NO
  02:07:35   121.72 USDC →   87.9176 MEVI  | att: NO
  02:08:01   105.69 USDC →   78.3196 MEVI  | att: NO
  02:08:26   125.42 USDC →  105.1282 MEVI  | att: NO
  02:08:52   102.09 USDC →   97.6774 MEVI  | att: NO
  02:09:18   102.58 USDC →  100.5178 MEVI  | att: NO
  02:09:43   121.23 USDC →   88.9798 MEVI  | att: NO
  02:10:09   105.69 USDC →   80.6944 MEVI  | att: NO
  02:10:34   149.19 USDC →  115.4906 MEVI  | att: NO
  02:11:00   112.75 USDC →   98.2328 MEVI  | att: NO
  02:11:27   133.73 USDC →  127.4523 MEVI  | att: NO
  02:11:53   130.97 USDC →  127.6269 MEVI  | att: NO
  02:12:18   149.96 USDC →  145.5934 MEVI  | att: NO
  02:12:43   102.89 USDC →   71.5212 MEVI  | att: NO
  02:13:09   130.53 USDC →   98.8665 MEVI  | att: NO
  02:13:34   110.26 USDC →   90.9244 MEVI  | att: NO
  02:14:00   138.18 USDC →  129.1648 MEVI  | att: NO
  02:14:24   123.73 USDC →  120.7421 MEVI  | att: NO
  02:14:49   109.52 USDC →   75.1647 MEVI  | att: SI  perdita: 2.5542  rimborso: NON ASSICURATO
  02:15:15   117.83 USDC →   92.8045 MEVI  | att: NO
  02:15:41   113.32 USDC →   94.6429 MEVI  | att: NO
  02:16:06   113.82 USDC →  102.2141 MEVI  | att: NO
  02:16:32   127.03 USDC →  119.9240 MEVI  | att: NO
  02:16:57   114.24 USDC →  111.6881 MEVI  | att: NO
  02:17:23   110.52 USDC →   72.2100 MEVI  | att: SI  perdita: 5.8408  rimborso: NON ASSICURATO
  02:17:49   128.92 USDC →   95.7900 MEVI  | att: NO
  02:18:14   139.28 USDC →  102.5895 MEVI  | att: NO
  02:18:41   127.14 USDC →  103.8298 MEVI  | att: NO
  02:19:07   118.98 USDC →  104.7185 MEVI  | att: NO
  02:19:33   130.97 USDC →  117.1044 MEVI  | att: NO
  02:19:58   117.31 USDC →   77.3381 MEVI  | att: NO
  02:20:24   126.06 USDC →   96.5608 MEVI  | att: SI  perdita: 3.4715  rimborso: NON ASSICURATO
  02:20:50   124.73 USDC →  104.8550 MEVI  | att: NO
  02:21:16   102.41 USDC →   91.2717 MEVI  | att: NO
  02:21:41   139.37 USDC →  127.9998 MEVI  | att: NO
  02:22:08   107.93 USDC →   96.8319 MEVI  | att: SI  perdita: 3.7759  rimborso: NON ASSICURATO
  02:22:33   120.39 USDC →  117.5594 MEVI  | att: NO
  02:22:57   127.81 USDC →   91.9744 MEVI  | att: NO
  02:23:23   128.21 USDC →  103.2804 MEVI  | att: NO
  02:23:49   112.13 USDC →   95.8128 MEVI  | att: NO
  02:24:13   126.41 USDC →  117.1104 MEVI  | att: NO
  02:24:38   110.17 USDC →  100.4665 MEVI  | att: NO
  02:25:04   141.57 USDC →   95.6469 MEVI  | att: NO
  02:25:30   129.49 USDC →  103.0772 MEVI  | att: NO
  02:25:55   126.54 USDC →  104.9432 MEVI  | att: SI  perdita: 3.9301  rimborso: NON ASSICURATO
  02:26:20   124.28 USDC →  113.2837 MEVI  | att: NO
  02:26:44   124.78 USDC →  118.8318 MEVI  | att: NO
  02:27:09   136.21 USDC →   90.2526 MEVI  | att: NO
  02:27:34   110.16 USDC →   87.9496 MEVI  | att: NO
  02:28:00   141.45 USDC →  104.8975 MEVI  | att: NO
  02:28:25   120.72 USDC →   69.0339 MEVI  | att: NO
  02:28:51   128.52 USDC →  115.0086 MEVI  | att: NO
  02:29:28   144.44 USDC →  140.3846 MEVI  | att: NO
  02:29:54   137.07 USDC →  100.4457 MEVI  | att: NO
  02:30:20   104.02 USDC →   87.6396 MEVI  | att: NO
  02:30:46   118.75 USDC →  104.3442 MEVI  | att: NO
  02:31:11   102.51 USDC →   90.6955 MEVI  | att: NO
  02:31:37   129.95 USDC →  112.5339 MEVI  | att: NO
  02:32:02   122.78 USDC →   84.6808 MEVI  | att: NO
  02:32:28   142.49 USDC →  105.6510 MEVI  | att: NO
  02:32:53   136.87 USDC →  109.5726 MEVI  | att: NO
  02:33:19   142.27 USDC →  115.6854 MEVI  | att: NO
  02:33:45   136.59 USDC →  125.9285 MEVI  | att: NO
  02:34:09   133.71 USDC →  125.3515 MEVI  | att: NO
  02:34:34   114.38 USDC →   79.3415 MEVI  | att: NO
  02:35:00   110.50 USDC →   81.4971 MEVI  | att: NO
  02:35:23   143.36 USDC →   78.1087 MEVI  | att: NO
  02:35:50   120.05 USDC →   95.9458 MEVI  | att: NO
  02:36:15   118.30 USDC →  102.9435 MEVI  | att: NO
  02:36:41   116.61 USDC →  113.9524 MEVI  | att: NO
  02:37:04   141.38 USDC →  100.7176 MEVI  | att: NO
  02:37:28   126.17 USDC →   96.5563 MEVI  | att: NO
  02:37:54   137.22 USDC →  118.6552 MEVI  | att: NO
  02:38:20   145.10 USDC →  126.8764 MEVI  | att: NO
  02:38:47   120.02 USDC →  110.4733 MEVI  | att: NO
  02:39:13   126.81 USDC →   83.5047 MEVI  | att: NO
  02:39:38   139.04 USDC →  100.7495 MEVI  | att: NO
  02:40:04   147.44 USDC →  106.7066 MEVI  | att: SI  perdita: 3.7262  rimborso: NON ASSICURATO
  02:40:28   105.54 USDC →   83.6794 MEVI  | att: SI  perdita: 4.8658  rimborso: NON ASSICURATO
  02:40:51   121.48 USDC →  107.0033 MEVI  | att: NO
  02:41:17   148.16 USDC →  147.6849 MEVI  | att: NO
  02:41:43   119.39 USDC →   85.9523 MEVI  | att: NO
  02:42:10   114.51 USDC →   89.1788 MEVI  | att: NO
  02:42:36   114.09 USDC →   84.1408 MEVI  | att: SI  perdita: 2.9667  rimborso: NON ASSICURATO
  02:43:01   119.25 USDC →   95.2550 MEVI  | att: NO
  02:44:14   136.47 USDC →  127.4654 MEVI  | att: NO
  02:45:15   132.91 USDC →  113.8769 MEVI  | att: NO
  02:45:40   136.49 USDC →   83.2531 MEVI  | att: NO
  02:46:06   103.03 USDC →   87.2429 MEVI  | att: NO
  02:46:31   114.14 USDC →   96.0718 MEVI  | att: NO
  02:47:27   101.53 USDC →   88.2553 MEVI  | att: NO
  02:47:52   133.79 USDC →  116.6686 MEVI  | att: NO
  02:48:16   100.50 USDC →   67.1840 MEVI  | att: NO
  02:48:42   133.28 USDC →  100.0701 MEVI  | att: NO
  02:49:08   121.39 USDC →   97.1108 MEVI  | att: NO
  02:49:32   145.46 USDC →  118.2604 MEVI  | att: NO
  02:49:57   136.79 USDC →  114.0653 MEVI  | att: NO
  02:50:23   136.91 USDC →   91.6945 MEVI  | att: SI  perdita: 3.0772  rimborso: NON ASSICURATO
  02:50:50   136.63 USDC →  106.3332 MEVI  | att: NO
  02:51:15   133.11 USDC →  102.5790 MEVI  | att: NO
  02:51:39   111.08 USDC →   88.2388 MEVI  | att: NO
  02:52:04   112.09 USDC →  101.7075 MEVI  | att: SI  perdita: 3.9892  rimborso: NON ASSICURATO
  02:52:29   138.75 USDC →  135.0036 MEVI  | att: NO
  02:52:54   115.79 USDC →   80.1300 MEVI  | att: NO
  02:53:19   133.43 USDC →   94.9104 MEVI  | att: NO
  02:53:43   144.52 USDC →  101.1900 MEVI  | att: NO
  02:54:11   142.05 USDC →  112.9965 MEVI  | att: NO
  02:54:36   148.03 USDC →  140.0012 MEVI  | att: NO
  02:55:02   119.78 USDC →  116.9777 MEVI  | att: NO
